emp_no,first_name,last_name,birth_date,current_title,first_hire_date,to_date
21843,Karsten,Azadmanesh,1/9/65,Senior Engineer,11/29/85,1/1/99
21909,Mohammed,Brizzi,1/4/65,Senior Staff,12/28/91,1/1/99
22185,Huai,Birch,1/29/65,Engineer,3/26/96,1/1/99
22415,Perla,Jumpertz,1/20/65,Senior Staff,8/24/94,1/1/99
22451,Jasminko,Bresenham,1/27/65,Senior Staff,12/16/87,1/1/99
22455,Barry,Unno,1/6/65,Senior Staff,11/16/90,1/1/99
22926,Manibrata,Genther,1/1/65,Senior Engineer,1/15/88,1/1/99
23396,Hilari,Fairtlough,1/2/65,Technique Leader,12/15/86,1/1/99
24080,Jaana,Perez,1/26/65,Technique Leader,3/11/96,1/1/99
24205,Roddy,Rubsam,1/25/65,Senior Engineer,9/19/93,1/1/99
24377,Lubomir,Wroclawski,1/25/65,Senior Engineer,7/25/93,1/1/99
24394,Zhonghui,Conta,1/4/65,Staff,9/10/94,1/1/99
24553,Anwar,Passafiume,1/12/65,Senior Staff,1/30/87,1/1/99
24571,Cordelia,Gischer,1/20/65,Senior Engineer,3/14/89,1/1/99
25488,Ingmar,Basawa,1/19/65,Senior Staff,11/9/91,1/1/99
26629,Nevin,Rodham,1/28/65,Senior Staff,12/14/98,1/1/99
26671,Jiakeng,Kalorkoti,1/21/65,Senior Engineer,12/25/94,1/1/99
26788,Zongyan,Dalphin,1/25/65,Senior Engineer,4/23/88,1/1/99
27331,Wanqing,Krohm,1/19/65,Senior Staff,1/22/91,1/1/99
27378,Piyawadee,Leppanen,1/28/65,Senior Staff,2/25/99,1/1/99
27620,Shuji,Kandlur,1/25/65,Senior Engineer,3/2/90,1/1/99
27686,Manu,Rosiles,1/28/65,Senior Staff,3/3/98,1/1/99
27699,Falguni,Pezzoli,1/15/65,Engineer,12/23/96,1/1/99
27767,Tooru,Veldwijk,1/27/65,Senior Staff,11/21/93,1/1/99
28193,Xinglin,Mitsuhashi,1/29/65,Senior Engineer,12/14/88,1/1/99
28974,Chenxi,Sundgren,1/9/65,Senior Engineer,9/2/86,1/1/99
28988,Tua,Giveon,1/18/65,Technique Leader,9/9/98,1/1/99
29130,Xumin,Thorensen,1/6/65,Staff,4/26/98,1/1/99
29265,Gilbert,Calkin,1/14/65,Senior Staff,3/21/88,1/1/99
29380,Satoru,Vidal,1/30/65,Assistant Engineer,5/2/98,1/1/99
29418,Valery,Mersereau,1/22/65,Assistant Engineer,7/1/98,1/1/99
29679,Kolar,Steenbeek,1/17/65,Senior Engineer,10/18/86,1/1/99
29782,Jouko,Hellwagner,1/29/65,Senior Engineer,12/21/94,1/1/99
29954,Pranay,Giarratana,1/27/65,Senior Engineer,9/29/92,1/1/99
30007,Kousuke,Vecchio,1/24/65,Senior Engineer,2/23/90,1/1/99
30035,Tetsushi,Conta,1/8/65,Senior Staff,7/4/95,1/1/99
30154,Mayuko,Skafidas,1/26/65,Technique Leader,4/19/99,1/1/99
30182,Leon,Potthoff,1/26/65,Senior Engineer,12/8/85,1/1/99
30465,Randi,Avouris,1/28/65,Senior Engineer,7/16/86,1/1/99
30484,Sailaja,Chvatal,1/11/65,Staff,5/18/99,1/1/99
30695,Gudjon,Majewski,1/8/65,Senior Engineer,10/26/99,1/1/99
30938,Yakkov,Samarati,1/6/65,Senior Staff,5/23/95,1/1/99
31147,Divine,Sidhu,1/4/65,Senior Staff,7/5/89,1/1/99
31188,Leandro,Gist,1/12/65,Technique Leader,2/3/93,1/1/99
31207,Abdelwaheb,Dulin,1/30/65,Senior Engineer,8/5/93,1/1/99
31341,Oksana,Zultner,1/1/65,Senior Staff,3/23/91,1/1/99
31514,Harngdar,Schapire,1/13/65,Senior Engineer,11/9/96,1/1/99
31568,Mark,Lalonde,1/10/65,Staff,11/24/96,1/1/99
31909,Murthy,Peek,1/10/65,Engineer,7/19/94,1/1/99
32347,Terresa,Peres,1/8/65,Senior Staff,9/15/90,1/1/99
32552,Atreye,Stanger,1/17/65,Engineer,9/10/93,1/1/99
32649,Ingmar,Nannarelli,1/12/65,Senior Staff,6/10/88,1/1/99
32714,Radoslaw,Maliniak,1/16/65,Staff,11/17/97,1/1/99
32844,Tadahiko,Melton,1/23/65,Engineer,1/7/95,1/1/99
33025,Jessie,Thorelli,1/12/65,Senior Staff,12/16/99,1/1/99
33215,Steen,Fasbender,1/29/65,Technique Leader,2/14/93,1/1/99
33722,Anwar,Collette,1/15/65,Senior Engineer,3/22/94,1/1/99
34077,Angel,Sichman,1/8/65,Senior Staff,11/16/88,1/1/99
34261,Kyoichi,Callaway,1/5/65,Senior Staff,12/30/90,1/1/99
34446,Chinhyun,Bauknecht,1/31/65,Senior Engineer,12/19/86,1/1/99
34452,Naftaly,Foong,1/8/65,Senior Engineer,5/10/91,1/1/99
34505,Felicidad,Kumaresan,1/28/65,Senior Staff,9/6/94,1/1/99
34533,Erzsebet,Shigei,1/10/65,Senior Engineer,1/21/91,1/1/99
34780,Moni,Kohling,1/16/65,Staff,7/21/94,1/1/99
34788,Ennio,Babu,1/27/65,Senior Engineer,8/31/94,1/1/99
34936,Bokyung,Stamatiou,1/12/65,Technique Leader,2/12/91,1/1/99
35044,Jiang,Waschkowski,1/4/65,Senior Engineer,5/27/89,1/1/99
35087,Leif,Ashish,1/17/65,Senior Staff,10/14/94,1/1/99
35441,Chandrasekaran,Peek,1/31/65,Senior Engineer,2/7/88,1/1/99
35642,Ashish,Talmon,1/30/65,Senior Engineer,6/13/95,1/1/99
35793,Oscar,Kusalik,1/1/65,Senior Staff,5/11/91,1/1/99
35798,Ulf,Oberman,1/29/65,Senior Engineer,3/15/97,1/1/99
36521,Serif,Gladwell,1/21/65,Senior Staff,3/6/87,1/1/99
36626,Fen,Genin,1/2/65,Senior Staff,5/9/86,1/1/99
36733,Uma,Reinhard,1/4/65,Staff,11/1/97,1/1/99
36844,Hailing,Levergood,1/1/65,Staff,1/12/00,1/1/99
36982,Kotesh,Rajala,1/22/65,Senior Engineer,6/23/92,1/1/99
37070,Jeong,Undy,1/22/65,Senior Staff,2/13/85,1/1/99
37945,Suzette,Butterworth,1/2/65,Senior Engineer,2/19/94,1/1/99
38043,Michaela,Randi,1/5/65,Senior Engineer,11/23/85,1/1/99
38103,Masasuke,Babu,1/12/65,Senior Engineer,3/31/88,1/1/99
38168,Fumiko,Deverell,1/14/65,Senior Staff,8/15/87,1/1/99
38550,JoAnne,Baez,1/14/65,Senior Engineer,2/16/87,1/1/99
38593,Huei,Orsini,1/14/65,Senior Engineer,6/4/86,1/1/99
38947,Shuichi,Ruemmler,1/25/65,Senior Staff,3/8/91,1/1/99
39000,Martijn,Vendrig,1/8/65,Senior Staff,3/3/97,1/1/99
39036,Changho,Cappelli,1/8/65,Staff,5/4/96,1/1/99
39301,Rimon,Kawashima,1/7/65,Senior Staff,2/6/92,1/1/99
39341,Mahmut,Lampe,1/1/65,Senior Engineer,5/11/85,1/1/99
39952,Otmar,Sudbeck,1/2/65,Staff,7/22/98,1/1/99
40269,Toshiki,Ghazalie,1/10/65,Senior Staff,12/5/91,1/1/99
40283,Sudhanshu,Boissier,1/7/65,Senior Engineer,5/11/85,1/1/99
40301,Spyrose,Felder,1/20/65,Senior Engineer,6/16/96,1/1/99
40536,Harngdar,Bernardinello,1/20/65,Senior Engineer,2/29/88,1/1/99
40765,Michaela,Ramsak,1/1/65,Senior Staff,12/21/92,1/1/99
40773,Shimshon,Aingworth,1/9/65,Senior Staff,4/13/86,1/1/99
40983,Marla,Cherinka,1/17/65,Technique Leader,12/1/86,1/1/99
41114,Petter,Thummel,1/25/65,Technique Leader,12/24/95,1/1/99
41137,Bikash,Buchter,1/20/65,Senior Staff,11/23/87,1/1/99
41357,Willard,Vernadat,1/6/65,Engineer,3/4/97,1/1/99
41518,Keung,Schapiro,1/11/65,Senior Engineer,4/19/98,1/1/99
41520,Xiong,Uhrik,1/20/65,Senior Engineer,3/21/88,1/1/99
41609,Yucai,Simmen,1/4/65,Senior Staff,10/13/87,1/1/99
42778,Shuji,Remmers,1/19/65,Senior Staff,12/18/87,1/1/99
42911,Brigham,Eterovic,1/29/65,Senior Engineer,10/8/94,1/1/99
42950,Shaleah,Eickenmeyer,1/22/65,Senior Staff,10/9/93,1/1/99
42955,Yucel,Lortz,1/12/65,Engineer,2/21/95,1/1/99
43154,Maha,Waterhouse,1/13/65,Senior Staff,7/4/97,1/1/99
43733,Huei,Boguraev,1/26/65,Senior Staff,12/31/93,1/1/99
43848,Phillip,Oxenboll,1/11/65,Engineer,5/26/99,1/1/99
44054,Alenka,Ritcey,1/18/65,Engineer,2/9/97,1/1/99
44265,Maria,Eppinger,1/24/65,Engineer,1/30/97,1/1/99
44540,Mingzeng,Sadowski,1/16/65,Senior Engineer,11/12/89,1/1/99
44900,Mark,Schwaller,1/5/65,Senior Staff,8/10/94,1/1/99
44959,Volkmar,Uhrik,1/21/65,Senior Engineer,1/16/88,1/1/99
44962,Sariel,Wynblatt,1/16/65,Assistant Engineer,5/18/96,1/1/99
45162,Dulce,Speel,1/11/65,Senior Engineer,10/19/87,1/1/99
46000,Zhaofang,Penn,1/26/65,Senior Staff,7/24/97,1/1/99
46328,Wuxu,Trogemann,1/5/65,Senior Staff,1/27/97,1/1/99
46811,Junsik,Berendt,1/10/65,Senior Engineer,4/27/88,1/1/99
46834,Tooru,Daescu,1/22/65,Senior Staff,3/20/98,1/1/99
46943,Pasqua,Maraist,1/31/65,Senior Engineer,12/6/93,1/1/99
47016,Toong,Litecky,1/3/65,Senior Staff,3/1/89,1/1/99
47139,Marco,Usdin,1/25/65,Engineer,10/29/96,1/1/99
47262,Gonzalo,Binkley,1/10/65,Senior Engineer,8/16/85,1/1/99
47515,Naraig,Jenevein,1/26/65,Senior Engineer,1/18/87,1/1/99
47702,Juyoung,Vieri,1/21/65,Senior Staff,8/12/91,1/1/99
47708,Edwin,Haldar,1/5/65,Senior Staff,7/12/95,1/1/99
48275,Sariel,Massonet,1/29/65,Senior Staff,11/20/87,1/1/99
48690,Hitomi,Schaap,1/12/65,Staff,9/27/99,1/1/99
48882,Leen,Lamparter,1/28/65,Senior Engineer,6/7/93,1/1/99
48904,Yuichiro,Malabarba,1/23/65,Senior Staff,3/7/94,1/1/99
48947,Filipp,Akaboshi,1/5/65,Senior Staff,5/20/92,1/1/99
49010,Kazuhisa,Benantar,1/16/65,Senior Staff,10/23/89,1/1/99
49017,Filipp,Flanders,1/7/65,Senior Engineer,11/26/90,1/1/99
49119,Lena,Peek,1/9/65,Senior Engineer,5/16/91,1/1/99
49177,Tze,Bach,1/3/65,Engineer,3/9/99,1/1/99
49464,Siddarth,Cappelletti,1/14/65,Staff,9/10/99,1/1/99
49477,Baocai,Leaver,1/14/65,Senior Staff,8/5/98,1/1/99
50293,Xinan,Rindone,1/26/65,Engineer,10/8/96,1/1/99
50311,Mooi,Stafford,1/24/65,Senior Engineer,10/6/96,1/1/99
50453,Aron,Harbusch,1/12/65,Staff,10/2/97,1/1/99
50670,Boguslaw,Snedden,1/30/65,Senior Staff,2/20/85,1/1/99
50831,Marie,Khalid,1/6/65,Senior Engineer,10/27/90,1/1/99
51036,Chriss,Fasbender,1/29/65,Staff,5/23/95,1/1/99
51057,Theirry,Albarhamtoshy,1/29/65,Senior Staff,9/27/91,1/1/99
51060,Youngkon,Rohrbach,1/15/65,Senior Engineer,10/20/89,1/1/99
51142,Rosine,Lakshmanan,1/29/65,Senior Engineer,1/31/86,1/1/99
52038,Chikako,Armand,1/13/65,Senior Engineer,5/18/85,1/1/99
52040,Phule,Heijenga,1/14/65,Senior Staff,2/22/92,1/1/99
52283,Trygve,Krupka,1/20/65,Senior Staff,3/11/94,1/1/99
52386,Adas,Denti,1/28/65,Senior Staff,5/30/86,1/1/99
52590,Jouni,Munoz,1/21/65,Senior Staff,11/26/95,1/1/99
52599,Augustine,Mungall,1/25/65,Senior Engineer,8/31/87,1/1/99
52639,Arup,Colorni,1/9/65,Senior Staff,2/5/96,1/1/99
52770,Shugo,Yurek,1/31/65,Senior Staff,8/28/92,1/1/99
52778,Alain,Penn,1/15/65,Technique Leader,5/3/86,1/1/99
52956,Khalil,Picci,1/31/65,Senior Engineer,3/21/87,1/1/99
52970,Lobel,Werthner,1/22/65,Senior Engineer,3/17/88,1/1/99
53278,Premsyl,Lortz,1/31/65,Senior Staff,2/1/93,1/1/99
53314,Eberhardt,Carrera,1/6/65,Staff,2/23/99,1/1/99
53431,Sham,Vasanthakumar,1/12/65,Senior Staff,10/24/85,1/1/99
53499,Zdislav,Mandelberg,1/20/65,Senior Engineer,9/11/94,1/1/99
53597,Jiafu,Marchegay,1/30/65,Senior Engineer,3/2/85,1/1/99
53874,Bodo,Schade,1/23/65,Senior Staff,2/14/86,1/1/99
53924,Arnould,Gaughan,1/27/65,Senior Engineer,1/23/91,1/1/99
54198,Shaowen,Segond,1/1/65,Senior Engineer,1/6/86,1/1/99
54632,Etsuo,Serot,1/19/65,Senior Staff,6/14/89,1/1/99
54795,Sumant,Nergos,1/29/65,Senior Staff,5/7/93,1/1/99
54800,Breannda,Cangellaris,1/13/65,Staff,1/27/00,1/1/99
55640,Adit,Syrotiuk,1/25/65,Senior Engineer,7/16/93,1/1/99
55687,Shih,Lindqvist,1/2/65,Senior Engineer,3/29/95,1/1/99
55799,Jianwen,Litzler,1/23/65,Senior Engineer,6/17/87,1/1/99
55857,Adin,Scallan,1/18/65,Senior Staff,9/15/87,1/1/99
56105,Makato,Remmers,1/11/65,Senior Engineer,4/16/89,1/1/99
56209,Remzi,Douceur,1/19/65,Senior Engineer,12/1/92,1/1/99
56415,Sigeru,Nivat,1/30/65,Senior Staff,10/24/91,1/1/99
56428,Olivera,Hanabata,1/27/65,Senior Staff,11/10/86,1/1/99
56682,Roded,Picco,1/28/65,Assistant Engineer,11/6/93,1/1/99
56829,Nagui,Gruenwald,1/9/65,Engineer,12/24/95,1/1/99
56847,Menkae,Chinin,1/14/65,Senior Engineer,8/19/89,1/1/99
57934,Sanjoy,Boudaillier,1/25/65,Senior Engineer,12/27/89,1/1/99
58141,Bezalel,Karner,1/5/65,Staff,9/27/94,1/1/99
58147,Shigenori,Sullins,1/9/65,Senior Staff,2/24/88,1/1/99
58384,Mariusz,Vural,1/22/65,Senior Engineer,11/14/93,1/1/99
58454,Ziya,Zambonelli,1/25/65,Engineer,6/29/99,1/1/99
58497,Yechiam,Cairo,1/22/65,Senior Staff,7/12/96,1/1/99
58819,Gennady,Liesche,1/4/65,Senior Staff,12/2/87,1/1/99
58990,Palash,Trelles,1/4/65,Engineer,11/18/98,1/1/99
59195,Ronnie,Pollock,1/8/65,Technique Leader,6/19/90,1/1/99
59640,Zita,Hiltgen,1/18/65,Staff,1/26/99,1/1/99
59869,Zsolt,Riefers,2/1/65,Senior Staff,9/25/87,1/1/99
59966,Steen,Salvesen,1/28/65,Technique Leader,2/3/93,1/1/99
60000,Heekeun,Emmart,1/16/65,Engineer,9/23/95,1/1/99
60091,Surveyors,Bade,2/1/65,Senior Staff,4/11/90,1/1/99
60238,Erzsebet,Claffy,1/23/65,Staff,3/3/97,1/1/99
60559,Jeanna,Stemann,1/19/65,Senior Engineer,8/29/88,1/1/99
60821,Moty,Mersereau,1/2/65,Senior Staff,9/3/91,1/1/99
60845,Bedir,Siegrist,1/14/65,Engineer,5/13/97,1/1/99
60875,Rildo,Masaki,1/21/65,Senior Engineer,1/14/90,1/1/99
60959,Tetsushi,Sridhar,1/9/65,Senior Staff,1/12/89,1/1/99
61147,Leszek,Werthner,1/30/65,Staff,3/3/99,1/1/99
61253,Cheong,Uhrik,1/9/65,Senior Engineer,6/4/96,1/1/99
61377,Dannz,Ohori,1/1/65,Senior Staff,1/18/88,1/1/99
61541,Kasidit,Papsdorf,1/8/65,Senior Engineer,8/17/93,1/1/99
61873,Woody,Rusmann,1/19/65,Engineer,2/26/93,1/1/99
62033,Heeju,Cappelli,1/24/65,Senior Engineer,1/15/87,1/1/99
62046,Karlis,Nanard,1/31/65,Senior Engineer,9/19/92,1/1/99
62245,Adel,Bressoud,1/1/65,Engineer,8/30/95,1/1/99
63294,Tetsushi,Tanemo,1/23/65,Senior Engineer,3/1/97,1/1/99
63419,Hiroyasu,Seuren,1/14/65,Senior Engineer,3/5/89,1/1/99
63441,Hinrich,Scallan,1/15/65,Staff,4/4/99,1/1/99
63566,Heekeun,Slaats,1/31/65,Senior Staff,1/12/99,1/1/99
63631,Falguni,Cherinka,1/22/65,Senior Engineer,9/8/86,1/1/99
63706,Sedat,Itzigehl,1/26/65,Engineer,7/31/97,1/1/99
64023,Laurentiu,Benzmuller,1/11/65,Senior Engineer,11/8/99,1/1/99
64209,Golgen,Schoegge,1/24/65,Senior Staff,2/26/88,1/1/99
64487,Tsutomu,Rebaine,1/27/65,Senior Engineer,9/17/86,1/1/99
64532,Atilio,Segond,1/23/65,Senior Engineer,11/29/90,1/1/99
64632,Zsolt,Brender,1/7/65,Senior Staff,2/21/96,1/1/99
64790,Shin,Piveteau,1/29/65,Senior Engineer,4/19/85,1/1/99
64828,Krister,Pappas,1/27/65,Staff,9/30/99,1/1/99
64984,Eldridge,Eldridge,1/6/65,Senior Engineer,6/24/86,1/1/99
65171,Jeane,Tasistro,1/25/65,Technique Leader,7/6/94,1/1/99
65539,Aksel,Picaronny,1/23/65,Senior Engineer,1/27/91,1/1/99
65883,Patricia,Pepe,1/7/65,Senior Staff,4/19/91,1/1/99
65998,Mandell,Alameldin,1/9/65,Senior Staff,4/8/89,1/1/99
66382,Domenico,Candan,1/4/65,Engineer,7/13/97,1/1/99
66530,Dung,Leaver,1/29/65,Staff,4/4/98,1/1/99
66643,Jianhao,Tomescu,1/18/65,Engineer,8/26/96,1/1/99
66702,Deniz,Thibadeau,2/1/65,Senior Engineer,9/27/94,1/1/99
66757,Yonghong,Baig,1/16/65,Staff,4/10/99,1/1/99
66807,Aiman,Rosaz,1/21/65,Senior Engineer,5/22/90,1/1/99
67320,Sadok,Lorys,1/18/65,Senior Staff,5/10/87,1/1/99
67548,Fumitaka,Roohalamini,1/11/65,Staff,6/27/98,1/1/99
67934,Aiman,Gargeya,1/7/65,Senior Engineer,3/7/85,1/1/99
68416,Munenori,Debuse,1/27/65,Senior Engineer,11/8/90,1/1/99
68608,Yucai,Seghrouchni,1/26/65,Senior Engineer,6/9/89,1/1/99
68633,Chinhyun,Rassart,1/28/65,Senior Engineer,7/29/93,1/1/99
68648,Jaques,DiGiano,1/25/65,Technique Leader,4/1/92,1/1/99
69052,Shietung,Shrader,1/26/65,Senior Staff,8/5/95,1/1/99
69219,Shuky,Redmiles,1/9/65,Senior Staff,7/6/94,1/1/99
69867,Miyeon,Rothe,1/22/65,Senior Staff,4/9/91,1/1/99
69878,Chinya,Cooke,1/24/65,Engineer,1/29/97,1/1/99
69936,Lalit,Unni,1/23/65,Assistant Engineer,12/6/98,1/1/99
70469,Tru,Miyakawa,1/12/65,Senior Staff,9/3/90,1/1/99
70990,Arumugam,Nitta,1/22/65,Senior Engineer,3/23/90,1/1/99
71066,Domenick,Basart,1/27/65,Senior Staff,1/5/96,1/1/99
71141,Sajjad,Vitiello,1/2/65,Senior Staff,2/17/92,1/1/99
71188,Pranjal,Schapiro,1/2/65,Senior Staff,12/14/86,1/1/99
71243,Kinh,Buchter,1/10/65,Senior Engineer,3/29/86,1/1/99
71334,Cathie,Peck,1/15/65,Senior Engineer,4/12/93,1/1/99
71685,Kristinn,Olano,1/1/65,Senior Engineer,10/3/89,1/1/99
71710,Hitomi,Takanami,1/31/65,Assistant Engineer,12/15/97,1/1/99
71745,Adil,Laventhal,1/2/65,Engineer,5/13/92,1/1/99
72190,Sajjad,Waeselynck,1/19/65,Engineer,9/13/99,1/1/99
72194,Feiyu,Siepmann,1/26/65,Senior Engineer,10/1/98,1/1/99
72232,Naraig,Veldwijk,1/10/65,Senior Engineer,7/10/89,1/1/99
72640,Honglan,Hutton,1/24/65,Senior Engineer,10/4/93,1/1/99
72918,Takahira,Szilard,1/22/65,Senior Staff,1/16/88,1/1/99
73076,Froduald,Feldhoffer,1/22/65,Senior Engineer,3/16/93,1/1/99
73233,Shigeo,Merey,1/15/65,Senior Engineer,7/30/85,1/1/99
73516,Qingxiang,Badache,1/14/65,Senior Engineer,6/25/89,1/1/99
73743,Anneke,Bernardeschi,1/15/65,Engineer,11/1/99,1/1/99
74200,Holgard,Weiland,1/16/65,Senior Engineer,9/24/91,1/1/99
74344,Hiroyasu,Provine,2/1/65,Engineer,11/25/94,1/1/99
74668,Masako,Bonifati,1/1/65,Senior Staff,4/9/87,1/1/99
74800,Yuuichi,Conde,1/25/65,Senior Engineer,3/8/89,1/1/99
75354,Shuky,Jakobus,1/11/65,Senior Engineer,6/16/86,1/1/99
75703,Kyoichi,Erman,1/8/65,Senior Engineer,7/25/96,1/1/99
76189,Kolar,Hinsberger,1/2/65,Senior Engineer,10/20/86,1/1/99
76201,Arif,Preusig,1/10/65,Senior Engineer,4/2/92,1/1/99
76640,Tristan,Mitsuhashi,1/2/65,Senior Engineer,7/13/94,1/1/99
77030,Faiza,Garnham,1/2/65,Technique Leader,3/2/86,1/1/99
77303,Xinglin,Birge,1/18/65,Senior Staff,3/5/92,1/1/99
77647,Niranjan,Schaaf,1/7/65,Technique Leader,11/5/89,1/1/99
77815,Ronghao,Picaronny,1/21/65,Engineer,6/9/93,1/1/99
78106,Ashish,Ratnaker,1/9/65,Senior Staff,11/10/86,1/1/99
78363,Susumu,Fritzsche,1/3/65,Engineer,6/23/98,1/1/99
78469,Leucio,Cappelli,1/28/65,Staff,8/22/97,1/1/99
78871,Conor,Ghandeharizadeh,1/15/65,Senior Engineer,5/25/85,1/1/99
79043,Katsuo,Hockney,1/24/65,Technique Leader,11/7/99,1/1/99
79171,Guiseppe,Ellozy,1/19/65,Senior Engineer,1/12/91,1/1/99
79310,Jeong,Cunliffe,1/24/65,Senior Staff,10/27/96,1/1/99
79606,Arnd,Peir,1/3/65,Senior Engineer,12/11/86,1/1/99
79763,Sanjoy,Barreiro,1/20/65,Senior Staff,4/9/88,1/1/99
79895,Fei,Murtagh,1/30/65,Senior Staff,1/19/86,1/1/99
80067,Kazuhisa,Weiland,1/19/65,Senior Staff,11/9/85,1/1/99
80203,Shakhar,Baik,1/22/65,Staff,12/1/93,1/1/99
80432,Stella,Figueira,1/17/65,Senior Staff,3/14/90,1/1/99
80731,Shaowen,Eldridge,1/25/65,Senior Staff,12/5/87,1/1/99
80850,Koldo,Luit,2/1/65,Senior Engineer,4/16/95,1/1/99
80889,Shigeo,Linnainmaa,1/7/65,Senior Engineer,7/30/85,1/1/99
80948,Harjit,Bardell,1/27/65,Senior Engineer,5/24/91,1/1/99
81105,Jaewon,Boissier,1/14/65,Senior Engineer,5/24/92,1/1/99
81545,Larisa,Kornyak,1/13/65,Technique Leader,3/10/96,1/1/99
81644,Divine,Ghandeharizadeh,1/5/65,Staff,11/28/97,1/1/99
81995,Sreekrishna,Brender,1/10/65,Senior Engineer,3/22/90,1/1/99
82069,Yechezkel,Perfilyeva,1/20/65,Senior Engineer,11/3/94,1/1/99
82098,Poornachandra,Wilharm,1/25/65,Senior Engineer,4/20/91,1/1/99
82351,Stevo,Thambidurai,1/26/65,Senior Staff,10/27/89,1/1/99
82511,Uwe,Koblick,1/27/65,Engineer,4/4/98,1/1/99
82919,Shigeu,Claffy,1/5/65,Engineer,2/3/98,1/1/99
82928,Alselm,Rikino,1/27/65,Senior Engineer,11/16/90,1/1/99
83280,Francesca,Ellozy,1/7/65,Senior Engineer,8/8/99,1/1/99
83289,Shigeichiro,Engelmann,1/9/65,Senior Engineer,1/9/94,1/1/99
83509,Breannda,Collavizza,1/4/65,Senior Engineer,10/12/89,1/1/99
83544,Leaf,Baak,1/18/65,Senior Staff,9/5/94,1/1/99
83714,Ohad,Kilgore,1/27/65,Senior Engineer,7/1/90,1/1/99
83805,Manohar,Harllee,1/23/65,Senior Engineer,3/11/87,1/1/99
83941,Zsolt,Hagimont,1/11/65,Senior Staff,10/8/96,1/1/99
